# model,mass,ctau,obs,exp,exp-2s,exp-1s,exp+1s,exp+1s
BToPhi,1.760,100.00,0.1521,0.1030,0.0479,0.0677,0.1646,0.2587
BToPhi,1.790,10.00,0.0532,0.0356,0.0162,0.0232,0.0564,0.0885
BToPhi,1.790,100.00,0.1179,0.1040,0.0488,0.0686,0.1662,0.2612
BToPhi,1.820,10.00,0.0686,0.0386,0.0184,0.0256,0.0598,0.0926
BToPhi,1.820,100.00,0.1312,0.1069,0.0514,0.0713,0.1692,0.2654
BToPhi,1.840,10.00,0.0981,0.0356,0.0164,0.0233,0.0558,0.0858
BToPhi,1.840,100.00,0.2486,0.0991,0.0441,0.0643,0.1584,0.2511
BToPhi,1.860,10.00,0.1115,0.0347,0.0160,0.0227,0.0548,0.0853
BToPhi,1.860,100.00,0.2572,0.0991,0.0465,0.0654,0.1568,0.2461
BToPhi,1.880,10.00,0.0599,0.0356,0.0164,0.0233,0.0555,0.0857
BToPhi,1.880,100.00,0.1504,0.1021,0.0482,0.0676,0.1614,0.2533
BToPhi,1.900,10.00,0.0534,0.0337,0.0158,0.0222,0.0538,0.0831
BToPhi,1.900,100.00,0.2109,0.0933,0.0437,0.0615,0.1479,0.2338
BToPhi,1.950,10.00,0.1291,0.0332,0.0153,0.0217,0.0525,0.0817
BToPhi,1.950,100.00,0.4617,0.0884,0.0414,0.0583,0.1412,0.2219
BToPhi,1.980,10.00,0.0984,0.0317,0.0144,0.0209,0.0512,0.0799
BToPhi,1.980,100.00,0.2380,0.0845,0.0386,0.0547,0.1350,0.2140
BToPhi,2.020,10.00,0.0548,0.0317,0.0144,0.0206,0.0507,0.0783
BToPhi,2.020,100.00,0.1881,0.0786,0.0356,0.0511,0.1269,0.2014
BToPhi,2.160,10.00,0.1448,0.0278,0.0126,0.0183,0.0451,0.0707
BToPhi,2.160,100.00,0.2565,0.0640,0.0285,0.0412,0.1042,0.1677
BToPhi,2.220,10.00,0.1021,0.0244,0.0103,0.0152,0.0404,0.0650
BToPhi,2.220,100.00,0.2905,0.0513,0.0200,0.0313,0.0876,0.1458
BToPhi,2.360,10.00,0.1879,0.0229,0.0097,0.0142,0.0380,0.0613
BToPhi,2.360,100.00,0.6439,0.0503,0.0216,0.0319,0.0836,0.1367
BToPhi,2.400,10.00,0.2172,0.0220,0.0093,0.0136,0.0370,0.0598
BToPhi,2.400,100.00,0.5942,0.0498,0.0214,0.0316,0.0828,0.1359
BToPhi,2.460,10.00,0.1990,0.0210,0.0089,0.0130,0.0354,0.0572
BToPhi,2.460,100.00,0.6856,0.0439,0.0182,0.0274,0.0744,0.1235
BToPhi,2.520,10.00,0.0686,0.0210,0.0089,0.0130,0.0354,0.0572
BToPhi,2.520,100.00,0.1820,0.0444,0.0187,0.0280,0.0756,0.1254
BToPhi,2.580,10.00,0.0727,0.0210,0.0089,0.0130,0.0354,0.0563
BToPhi,2.580,100.00,0.2176,0.0444,0.0184,0.0273,0.0745,0.1233
