# model,mass1,mass2,ctau,obs,exp,exp-2s,exp-1s,exp+1s,exp+1s
ScenarioA,12.000,1.200,2.50,0.0158,0.0024,0.0009,0.0021,0.0046,0.0071
ScenarioA,12.000,1.200,6.00,0.0164,0.0024,0.0009,0.0013,0.0046,0.0071
ScenarioA,12.000,1.200,10.00,0.0185,0.0034,0.0013,0.0021,0.0056,0.0089
ScenarioA,12.000,1.200,25.00,0.0335,0.0054,0.0023,0.0035,0.0091,0.0150
ScenarioA,12.000,1.200,60.00,0.0535,0.0093,0.0038,0.0062,0.0167,0.0279
ScenarioA,12.000,1.200,100.00,0.1036,0.0161,0.0065,0.0098,0.0272,0.0466
ScenarioA,2.000,0.670,1000.00,4.2969,3.7500,1.8164,2.5113,5.8576,9.0203
ScenarioA,4.000,1.330,1000.00,0.3832,0.1777,0.0736,0.1094,0.3053,0.5203
ScenarioA,5.000,1.670,1000.00,0.0966,0.1060,0.0414,0.0636,0.1896,0.3212
ScenarioA,6.000,2.000,1000.00,0.1535,0.0737,0.0271,0.0431,0.1343,0.2235
ScenarioA,7.500,2.500,1000.00,0.1062,0.0356,0.0123,0.0199,0.0678,0.1081
ScenarioA,12.000,1.200,1000.00,0.5817,0.1392,0.0576,0.0857,0.2401,0.4132

